0	[[2955,0,0],[2955,0,0],[2955,0,0]]
1	[[2955,0,0],[16066,-4,-9],[2955,0,0],[2955,0,0],[2955,0,0],[2955,0,0],[2955,0,0],[2955,0,0],[2955,0,0],[2955,0,0],[2955,0,0],[2955,0,0],[2955,0,0],[2955,0,0],[2955,0,0],[2955,0,0],[2955,0,0]]
2	[[16072,6,-5],[16067,-3,-1],[16068,-3,-16],[16069,-1,-16],[16070,-5,-17],[16071,-1,-17],[16072,-3,-15],[16068,-8,-10],[16073,-9,-14],[2955,0,0],[2955,0,0],[2955,0,0],[2955,0,0],[2955,0,0]]
0	[[16075,-1,-8],[16076,-8,-10],[2955,0,0]]
1	[[16077,3,-3],[16078,1,-5],[16079,2,-9],[2955,0,0],[2955,0,0],[2955,0,0],[2955,0,0],[16080,2,-6],[16081,3,-3],[16082,1,-6],[16083,-1,-7],[16084,-3,-8],[16085,0,-10],[16086,2,-8],[16087,-1,-7],[16088,1,-6],[2955,0,0]]
2	[[16089,5,-1],[16090,-5,-5],[16091,-6,-7],[16092,-1,-13],[16093,-2,-13],[16094,2,-13],[16095,1,-13],[16096,-4,-3],[16097,-4,-4],[16098,-1,-7],[16099,-6,-2],[16100,-5,0],[16101,-2,-5],[2955,0,0]]
0	[[16104,-7,-13],[16105,-17,-16],[2955,0,0]]
1	[[16106,-10,-3],[16107,-6,-6],[16108,-9,-7],[2955,0,0],[2955,0,0],[2955,0,0],[2955,0,0],[16109,-4,-8],[16110,-1,-3],[16111,-6,-6],[16112,-6,-7],[16113,-4,-7],[16114,-3,-9],[16115,-1,-7],[16116,-8,-5],[16117,-11,-5],[2955,0,0]]
2	[[16118,7,6],[16119,-1,-3],[16120,2,-1],[16121,-6,-11],[16122,-3,-13],[16123,-2,-13],[16124,-3,-12],[16125,0,2],[16126,1,0],[16127,-2,-4],[16128,-10,0],[16129,-8,-1],[16130,-1,-5],[2955,0,0]]
0	[[16145,3,1],[16146,3,1],[2955,0,0]]
1	[[16147,-2,1],[16148,-3,-1],[16149,-5,-3],[2955,0,0],[2955,0,0],[2955,0,0],[2955,0,0],[16150,0,0],[16151,-1,-1],[16152,-7,-2],[16153,-5,0],[16154,-3,-2],[16155,-1,-1],[16156,-1,-3],[16157,0,-2],[16158,-4,-1],[2955,0,0]]
2	[[16159,7,7],[16160,-3,1],[16161,-1,-1],[16162,-1,-10],[16163,-1,-9],[16164,1,-9],[16165,-1,-8],[16166,-1,2],[16167,-3,0],[16168,0,-1],[16169,1,-2],[16170,0,1],[16171,-1,0],[2955,0,0]]
0	[[2955,0,0],[2955,0,0],[2955,0,0]]
1	[[2955,0,0],[16182,-30,-46],[2955,0,0],[2955,0,0],[2955,0,0],[2955,0,0],[2955,0,0],[2955,0,0],[2955,0,0],[2955,0,0],[2955,0,0],[2955,0,0],[2955,0,0],[2955,0,0],[2955,0,0],[2955,0,0],[2955,0,0]]
2	[[16183,-29,-40],[16181,-36,-14],[16183,-33,-52],[16184,-29,-54],[16185,-35,-52],[16186,-32,-53],[16185,-34,-53],[16185,-47,-48],[16186,-46,-46],[2955,0,0],[2955,0,0],[2955,0,0],[2955,0,0],[2955,0,0]]
